order_id,order_date,region,category,product,channel,customer_segment,quantity,unit_price,discount_pct,revenue,cost,profit,rating
100021,2023-02-23,East,Sports,Cricket Bat,In-Store,Returning Customer,4,3651.85,0,14607.4,10780.65,3826.75,5.0
100022,2023-12-04,South,Home & Kitchen,Air Fryer,In-Store,New Customer,4,3457.19,0,13828.76,9670.43,4158.33,4.0
100023,2023-05-15,East,Electronics,Smartwatch,Online,Returning Customer,5,22519.31,15,95707.07,71710.36,23996.71,2.0
100024,2024-08-31,East,Electronics,Bluetooth Speaker,Online,Returning Customer,4,2265.04,5,8607.15,5304.02,3303.13,5.0
100025,2024-04-21,north,Beauty,Lipstick,In-Store,Premium Member,5,856.5,20,3426.0,3180.72,245.28,5.0
100026,2023-07-10,South,Electronics,Laptop,Online,Returning Customer,2,41934.74,0,83869.48,49632.59,34236.89,4.0
100027,2024-10-24,North,Home & Kitchen,Cookware Set,In-Store,Returning Customer,1,2330.16,10,2097.14,1539.22,557.92,
100028,2024-06-21,West,Electronics,Bluetooth Speaker,Online,,4,36165.33,5,137428.25,99873.22,37555.03,5.0
100029,2024-04-15,North,Clothing,Jeans,Online,Returning Customer,3,1789.91,5,5101.24,3261.08,1840.16,4.0
100030,2023-12-08,North,Clothing,Jacket,Online,Returning Customer,5,1168.94,20,4675.76,3749.1,926.66,5.0
100031,2023-12-16,East,Sports,Running Shoes,In-Store,Returning Customer,3,4853.04,0,14559.12,9285.72,5273.4,
100032,2024-04-18,West,Electronics,Smartwatch,Online,New Customer,1,20575.03,0,20575.03,11702.56,8872.47,
100033,2023-08-25,North,Grocery,Snacks Combo,In-Store,Returning Customer,5,424.07,0,2120.35,1317.15,803.2,5.0
100034,2024-11-27,South,Sports,Yoga Mat,Online,New Customer,4,1381.85,0,5527.4,3883.95,1643.45,5.0
100035,2024-09-03,North,Beauty,Face Wash,Online,Returning Customer,5,1613.02,0,8065.1,4460.49,3604.61,5.0
100036,2024-08-30,West,Grocery,Rice 5kg,Online,New Customer,2,101.74,5,193.31,150.18,43.13,4.0
100037,2024-11-20,east,Electronics,Headphones,In-Store,Premium Member,4,18111.3,20,57956.16,52962.52,4993.64,
100038,2024-02-01,North,Beauty,Shampoo,Online,Returning Customer,1,1231.94,0,1231.94,845.51,386.43,2.0
100039,2023-04-25,South,Sports,Dumbbells,In-Store,Returning Customer,5,619.44,5,2942.34,2302.82,639.52,4.0
100040,2024-04-01,East,Home & Kitchen,Mixer Grinder,In-Store,New Customer,1,9495.83,0,9495.83,6990.37,2505.46,5.0
100041,2024-01-04,East,Electronics,Laptop,Online,Premium Member,4,37398.84,0,149595.36,109070.67,40524.69,3.0
100042,2024-01-31,West,Home & Kitchen,Air Fryer,Online,Premium Member,4,7222.5,5,27445.5,18480.62,8964.88,
100043,2023-01-25,East,Grocery,Tea Pack,In-Store,Returning Customer,5,843.36,20,3373.44,3159.17,214.27,
100044,2023-06-12,West,Home & Kitchen,Vacuum Cleaner,Online,New Customer,2,10174.0,15,17295.8,14603.68,2692.12,3.0
100045,2023-06-17,North,Clothing,Jacket,In-Store,New Customer,5,1046.33,5,4970.07,3780.54,1189.53,5.0
100046,2024-10-18,West,Electronics,Bluetooth Speaker,In-Store,Returning Customer,3,35239.03,5,100431.24,67113.9,33317.34,5.0
100047,2023-02-08,South,Grocery,Rice 5kg,Online,Returning Customer,4,177.43,0,709.72,482.5,227.22,4.0
100048,2023-12-14,West,Sports,Yoga Mat,Online,Returning Customer,5,5794.05,0,28970.25,21553.16,7417.09,
100049,2023-05-29,North,Grocery,Snacks Combo,In-Store,New Customer,3,874.83,5,2493.27,1773.84,719.43,4.0
100050,2024-02-19,West,Beauty,Shampoo,Online,Returning Customer,3,613.59,20,1472.62,1340.18,132.44,3.0
100051,2024-10-29,South,Clothing,Sneakers,In-Store,Returning Customer,4,2167.7,0,8670.8,6458.7,2212.1,5.0
100052,2024-05-16,North,Electronics,Headphones,Online,Returning Customer,5,7033.51,0,35167.55,25957.39,9210.16,3.0
100053,2024-12-09,East,Clothing,Jeans,In-Store,Premium Member,5,827.47,5,3930.48,2918.99,1011.49,3.0
100054,2023-08-27,North,Grocery,Cooking Oil,Online,Premium Member,3,546.65,0,1639.95,914.05,725.9,
100055,2024-02-09,North,Beauty,Sunscreen,In-Store,Premium Member,3,1066.46,10,2879.44,2364.19,515.25,5.0
100056,2023-05-25,North,Electronics,Headphones,In-Store,Returning Customer,1,30620.49,5,29089.47,19034.69,10054.78,
100057,2023-06-03,South,Beauty,Shampoo,In-Store,New Customer,1,1060.65,5,1007.62,769.32,238.3,3.0
100058,2024-09-15,South,Grocery,Rice 5kg,In-Store,Premium Member,4,883.98,5,3359.12,2394.98,964.14,4.0
100059,2024-03-10,West,Sports,Yoga Mat,Online,Returning Customer,4,2068.57,5,7860.57,5705.35,2155.22,5.0
100060,2023-05-18,West,Clothing,T-Shirt,Online,Returning Customer,2,2286.58,0,4573.16,2706.52,1866.64,4.0
100061,2023-04-21,North,Home & Kitchen,Cookware Set,In-Store,New Customer,4,4671.47,15,15883.0,12048.51,3834.49,4.0
100062,2023-03-02,North,Home & Kitchen,Mixer Grinder,Online,New Customer,5,1156.21,5,5492.0,3797.48,1694.52,2.0
100063,2023-02-15,south,Beauty,Shampoo,In-Store,New Customer,1,943.89,10,849.5,615.73,233.77,
100064,2023-02-17,North,Clothing,Sneakers,In-Store,Returning Customer,5,3456.02,5,16416.09,12697.56,3718.53,
100065,2023-01-28,South,Clothing,Dress,Online,New Customer,3,2582.72,15,6585.94,5054.4,1531.54,4.0
100066,2023-10-01,South,Home & Kitchen,Vacuum Cleaner,Online,New Customer,5,2841.58,5,13497.5,10203.29,3294.21,
100067,2023-05-06,North,Electronics,Bluetooth Speaker,Online,Returning Customer,3,29618.44,5,84412.55,59252.27,25160.28,4.0
100068,2024-09-14,East,Electronics,Smartwatch,Online,New Customer,4,29491.18,5,112066.48,73281.97,38784.51,5.0
100069,2024-01-12,North,Beauty,Face Wash,Online,New Customer,4,1553.85,0,6215.4,4420.22,1795.18,
100070,2023-05-17,North,Home & Kitchen,Vacuum Cleaner,Online,Premium Member,2,7251.18,15,12327.01,7991.67,4335.34,5.0
100071,2024-08-28,North,Home & Kitchen,Cookware Set,In-Store,Returning Customer,2,3935.77,10,7084.39,4623.81,2460.58,1.0
100072,2024-12-24,South,Electronics,Smartwatch,Online,Returning Customer,5,23367.35,15,99311.24,71752.77,27558.47,4.0
100073,2024-11-20,South,Grocery,Snacks Combo,Online,,2,152.05,0,304.1,167.42,136.68,
100074,2024-07-03,South,Beauty,Lipstick,In-Store,Premium Member,4,824.06,15,2801.8,2466.2,335.6,
100075,2024-06-30,West,Beauty,Sunscreen,In-Store,New Customer,1,1388.33,10,1249.5,992.69,256.81,
100076,2024-01-14,East,Beauty,Sunscreen,Online,Returning Customer,2,1497.39,5,2845.04,1872.9,972.14,3.0
100077,2024-02-26,East,Electronics,Headphones,Online,Returning Customer,2,25007.62,15,42512.95,33752.66,8760.29,
100078,2024-10-07,South,Home & Kitchen,Air Fryer,In-Store,New Customer,5,6348.74,10,28569.33,21097.82,7471.51,5.0
100079,2024-03-16,South,Grocery,Snacks Combo,In-Store,New Customer,2,705.22,15,1198.87,872.24,326.63,5.0
100080,2023-06-08,South,Grocery,Tea Pack,Online,Returning Customer,5,478.81,5,2274.35,1686.31,588.04,
100081,2024-09-18,East,Sports,Dumbbells,Online,New Customer,3,5770.82,0,17312.46,10309.05,7003.41,3.0
100082,2023-12-12,West,Sports,Dumbbells,Online,Returning Customer,1,1833.69,10,1650.32,1225.99,424.33,
100083,2023-11-20,West,Grocery,Tea Pack,In-Store,Returning Customer,2,136.52,0,273.04,155.86,117.18,5.0
100084,2024-02-11,North,Grocery,Rice 5kg,Online,New Customer,1,352.36,0,352.36,209.82,142.54,4.0
100085,2024-03-06,North,Electronics,Smartphone,In-Store,New Customer,1,6204.91,5,5894.66,4484.31,1410.35,5.0
100086,2023-07-29,South,Home & Kitchen,Mixer Grinder,Online,New Customer,3,2377.6,0,7132.8,4633.99,2498.81,3.0
100087,2023-06-10,South,Home & Kitchen,Cookware Set,Online,New Customer,1,2794.0,20,2235.2,1619.77,615.43,3.0
100088,2024-04-20,East,Electronics,Headphones,Online,Returning Customer,3,10393.86,15,26504.34,18429.18,8075.16,
100089,2024-03-04,South,Home & Kitchen,Cookware Set,Online,,2,6673.17,5,12679.02,8410.23,4268.79,4.0
100090,2024-10-05,North,Grocery,Snacks Combo,In-Store,Returning Customer,2,815.89,5,1550.19,1158.81,391.38,5.0
100091,2023-06-27,West,Electronics,Headphones,Online,New Customer,3,23341.25,5,66522.56,43264.47,23258.09,4.0
100092,2023-02-20,East,Clothing,Jacket,Online,Returning Customer,3,3380.48,15,8620.22,5863.95,2756.27,3.0
100093,2023-01-07,East,Electronics,Bluetooth Speaker,Online,New Customer,4,29360.14,10,105696.5,85981.15,19715.35,4.0
100094,2024-06-06,North,Clothing,Jacket,Online,New Customer,5,1404.61,10,6320.74,4372.21,1948.53,5.0
100095,2024-05-14,West,Sports,Running Shoes,Online,Returning Customer,3,5409.49,10,14605.62,10305.77,4299.85,
100096,2024-06-09,East,Clothing,Dress,Online,New Customer,3,1649.45,0,4948.35,3612.86,1335.49,4.0
100097,2023-03-16,West,Grocery,Cooking Oil,Online,New Customer,1,412.3,5,391.68,286.15,105.53,
100098,2023-12-08,North,Electronics,Laptop,Online,Returning Customer,1,22849.19,5,21706.73,16397.07,5309.66,3.0
100099,2024-12-02,South,Clothing,Sneakers,In-Store,New Customer,5,2230.09,0,11150.45,7000.91,4149.54,
100100,2024-05-26,West,Home & Kitchen,Vacuum Cleaner,Online,Premium Member,5,6218.06,0,31090.3,20456.44,10633.86,
100101,2023-09-01,North,Beauty,Lipstick,Online,New Customer,2,932.49,0,1864.98,1156.86,708.12,3.0
100102,2023-03-02,East,Clothing,T-Shirt,Online,Premium Member,5,307.49,20,1229.96,847.21,382.75,
100103,2024-09-04,North,Home & Kitchen,Mixer Grinder,Online,Premium Member,1,2873.49,5,2729.82,2082.1,647.72,4.0
100104,2024-10-22,East,Grocery,Cooking Oil,In-Store,,2,481.33,0,962.66,719.62,243.04,5.0
100105,2023-02-16,North,Electronics,Smartphone,Online,Premium Member,5,33218.84,0,166094.2,95181.35,70912.85,3.0
100106,2024-04-21,South,Beauty,Sunscreen,In-Store,New Customer,2,1213.5,10,2184.3,1511.87,672.43,4.0
100107,2023-04-08,West,Home & Kitchen,Air Fryer,Online,Returning Customer,1,6830.1,10,6147.09,4764.48,1382.61,4.0
100108,2024-05-07,East,Beauty,Shampoo,Online,Premium Member,3,1593.26,5,4540.79,3526.59,1014.2,5.0
100109,2023-02-08,North,Grocery,Cooking Oil,Online,New Customer,4,594.55,15,2021.47,1776.08,245.39,5.0
100110,2023-12-25,East,Electronics,Headphones,Online,Returning Customer,2,14178.3,0,28356.6,15834.85,12521.75,
100111,2024-08-07,North,Electronics,Smartwatch,Online,Premium Member,5,12543.44,5,59581.34,46816.26,12765.08,5.0
100112,2023-12-10,South,Grocery,Cooking Oil,Online,Premium Member,3,409.3,10,1105.11,731.97,373.14,5.0
100113,2024-01-01,North,Clothing,T-Shirt,Online,New Customer,3,2943.86,10,7948.42,5969.76,1978.66,
100114,2024-06-04,West,Clothing,T-Shirt,Online,Returning Customer,2,1871.8,20,2994.88,2730.91,263.97,3.0
100115,2023-04-30,East,Electronics,Headphones,In-Store,Premium Member,3,39632.79,0,118898.37,68473.93,50424.44,5.0
100116,2023-11-28,north,Electronics,Bluetooth Speaker,In-Store,New Customer,4,17523.76,0,70095.04,48693.9,21401.14,3.0
100117,2024-03-29,West,Grocery,Tea Pack,Online,Premium Member,5,474.08,5,2251.88,1694.68,557.2,2.0
100118,2023-02-09,East,Grocery,Rice 5kg,In-Store,Returning Customer,4,777.48,15,2643.43,2151.05,492.38,5.0
100119,2023-12-11,West,Sports,Cricket Bat,In-Store,New Customer,5,5332.88,15,22664.74,14821.39,7843.35,5.0
100120,2024-01-29,West,Grocery,Cooking Oil,In-Store,New Customer,2,762.35,5,1448.46,840.53,607.93,
100121,2023-02-15,South,Electronics,Headphones,Online,Returning Customer,5,35357.23,0,176786.15,124140.22,52645.93,4.0
100122,2023-08-12,West,Sports,Running Shoes,Online,Returning Customer,4,1373.02,10,4942.87,4061.17,881.7,
100123,2024-06-07,North,Clothing,T-Shirt,Online,New Customer,2,3088.92,20,4942.27,4594.93,347.34,4.0
100124,2023-08-15,East,Sports,Cricket Bat,Online,Premium Member,3,1814.05,0,5442.15,3166.18,2275.97,3.0
100125,2024-05-30,South,Grocery,Rice 5kg,Online,Returning Customer,5,324.67,10,1461.02,1143.75,317.27,
100126,2024-04-03,North,Electronics,Smartwatch,Online,Returning Customer,5,29167.44,0,145837.2,88208.62,57628.58,5.0
100127,2023-09-14,South,Beauty,Lipstick,In-Store,New Customer,1,1225.25,0,1225.25,885.7,339.55,3.0
100128,2024-08-06,North,Electronics,Headphones,Online,New Customer,3,38201.51,10,103144.08,77386.03,25758.05,
100129,2024-11-23,West,Clothing,Jacket,Online,Returning Customer,1,2243.38,0,2243.38,1484.41,758.97,
100130,2024-12-26,East,Grocery,Cooking Oil,In-Store,New Customer,5,202.66,5,962.63,695.22,267.41,3.0
100131,2024-05-09,East,Home & Kitchen,Mixer Grinder,In-Store,Premium Member,1,1243.73,5,1181.54,710.15,471.39,
100132,2023-02-15,North,Beauty,Shampoo,Online,New Customer,2,688.66,5,1308.45,781.73,526.72,2.0
100133,2024-08-11,North,Beauty,Lipstick,Online,Returning Customer,2,1470.97,0,2941.94,1716.61,1225.33,
100134,2023-11-13,East,Beauty,Face Wash,In-Store,New Customer,1,1319.95,15,1121.96,914.48,207.48,5.0
100135,2023-11-14,East,Home & Kitchen,Air Fryer,Online,Returning Customer,2,6186.12,0,12372.24,7210.54,5161.7,3.0
100136,2023-01-12,North,Grocery,Rice 5kg,In-Store,New Customer,4,690.31,15,2347.05,1758.17,588.88,
100137,2024-08-16,North,Home & Kitchen,Cookware Set,Online,Returning Customer,3,8083.65,0,24250.95,16637.26,7613.69,
100138,2023-07-26,North,Sports,Yoga Mat,In-Store,Returning Customer,5,5138.97,5,24410.11,17911.11,6499.0,5.0
100139,2023-06-01,East,Home & Kitchen,Air Fryer,Online,New Customer,2,6250.69,15,10626.17,9127.76,1498.41,3.0
100140,2024-01-06,South,Grocery,Tea Pack,Online,Returning Customer,5,681.15,0,3405.75,2360.75,1045.0,5.0
100141,2024-08-21,East,Beauty,Shampoo,Online,Returning Customer,5,871.32,0,4356.6,2749.03,1607.57,4.0
100142,2023-08-19,South,Clothing,T-Shirt,Online,Premium Member,2,3045.56,0,6091.12,4066.93,2024.19,4.0
100143,2024-11-06,West,Home & Kitchen,Cookware Set,Online,New Customer,2,5826.31,10,10487.36,6748.63,3738.73,3.0
100144,2024-11-13,West,Electronics,Smartwatch,Online,Returning Customer,5,24567.82,10,110555.19,84891.29,25663.9,3.0
100145,2024-01-02,West,Sports,Cricket Bat,Online,New Customer,2,1088.64,0,2177.28,1220.02,957.26,4.0
100146,2023-02-04,South,Grocery,Snacks Combo,Online,Returning Customer,4,201.64,20,645.25,599.29,45.96,
100147,2023-08-05,East,Electronics,Laptop,Online,Returning Customer,4,6707.48,0,26829.92,15526.7,11303.22,5.0
100148,2024-01-10,North,Grocery,Rice 5kg,In-Store,New Customer,5,869.94,0,4349.7,2967.92,1381.78,5.0
100149,2024-03-02,East,Clothing,Jeans,Online,Premium Member,1,397.24,15,337.65,273.26,64.39,4.0
100150,2023-05-27,West,Beauty,Face Wash,In-Store,Returning Customer,4,412.82,5,1568.72,1013.26,555.46,5.0
100151,2023-03-30,West,Electronics,Bluetooth Speaker,Online,Returning Customer,4,29692.41,10,106892.68,87311.72,19580.96,3.0
100152,2024-04-26,East,Electronics,Laptop,In-Store,Returning Customer,1,15583.1,5,14803.94,10471.32,4332.62,4.0
100153,2024-08-27,South,Electronics,Headphones,Online,New Customer,3,27631.05,10,74603.83,55861.53,18742.3,3.0
100154,2023-01-03,East,Clothing,Sneakers,Online,New Customer,4,776.77,5,2951.73,1861.81,1089.92,3.0
100155,2023-02-12,East,Beauty,Shampoo,In-Store,Premium Member,5,1506.95,5,7158.01,5495.42,1662.59,
100156,2024-02-03,North,Home & Kitchen,Vacuum Cleaner,Online,Premium Member,3,1935.91,5,5517.34,3492.51,2024.83,
100157,2024-06-22,West,Sports,Cricket Bat,Online,New Customer,2,2639.47,20,4223.15,3772.51,450.64,4.0
100158,2023-09-20,East,Clothing,Dress,Online,New Customer,1,2115.4,0,2115.4,1570.87,544.53,3.0
100159,2024-01-20,South,Grocery,Cooking Oil,Online,New Customer,5,805.05,0,4025.25,2384.59,1640.66,4.0
100160,2024-01-13,South,Clothing,T-Shirt,Online,Returning Customer,2,2642.27,15,4491.86,3616.13,875.73,5.0
100161,2024-11-06,North,Clothing,Dress,Online,Returning Customer,2,1813.25,5,3445.18,2124.0,1321.18,1.0
100162,2024-02-23,East,Home & Kitchen,Cookware Set,Online,Returning Customer,1,6363.79,20,5091.03,3673.74,1417.29,4.0
100163,2024-07-07,South,Electronics,Headphones,Online,New Customer,3,27621.01,0,82863.03,60581.57,22281.46,5.0
100164,2023-02-05,North,Electronics,Smartwatch,Online,New Customer,3,16247.95,5,46306.66,31122.07,15184.59,5.0
100165,2024-05-31,North,Grocery,Tea Pack,In-Store,Returning Customer,4,345.95,0,1383.8,946.38,437.42,5.0
100166,2024-09-05,East,Clothing,Sneakers,Online,Returning Customer,4,3377.33,5,12833.85,9469.6,3364.25,
100167,2024-09-09,North,Electronics,Smartwatch,Online,Returning Customer,4,22000.03,0,88000.12,50509.06,37491.06,5.0
100168,2024-09-21,West,Sports,Yoga Mat,In-Store,Returning Customer,2,4812.25,15,8180.82,6464.75,1716.07,4.0
100169,2024-05-14,East,Beauty,Sunscreen,Online,New Customer,2,778.5,0,1557.0,930.79,626.21,4.0
100170,2023-06-29,North,Clothing,Sneakers,In-Store,New Customer,3,2138.68,5,6095.24,4030.61,2064.63,4.0
100171,2024-07-14,North,Clothing,Dress,Online,Premium Member,3,2828.1,0,8484.3,4803.67,3680.63,3.0
100172,2024-07-31,North,Home & Kitchen,Cookware Set,In-Store,Returning Customer,2,10011.78,0,20023.56,14465.08,5558.48,5.0
100173,2023-04-20,West,Beauty,Face Wash,Online,Premium Member,1,1249.41,0,1249.41,806.68,442.73,4.0
100174,2023-03-20,West,Sports,Running Shoes,In-Store,Returning Customer,5,5644.12,15,23987.51,17089.0,6898.51,5.0
100175,2024-11-02,North,Beauty,Shampoo,In-Store,New Customer,3,1081.33,0,3243.99,1921.58,1322.41,3.0
100176,2024-11-20,North,Electronics,Laptop,Online,New Customer,4,14483.45,0,57933.8,39883.5,18050.3,
100177,2023-09-17,East,Electronics,Bluetooth Speaker,Online,New Customer,4,29920.7,10,107714.52,83163.21,24551.31,5.0
100178,2024-12-03,South,Grocery,Snacks Combo,Online,Returning Customer,5,397.4,20,1589.6,1191.64,397.96,
100179,2024-02-09,North,Grocery,Cooking Oil,In-Store,New Customer,5,256.47,0,1282.35,767.15,515.2,5.0
100180,2023-12-04,North,Sports,Yoga Mat,Online,Returning Customer,5,5128.4,0,25642.0,16607.0,9035.0,
100181,2024-07-17,North,Clothing,Jacket,Online,Returning Customer,2,2812.05,15,4780.49,4167.83,612.66,5.0
100182,2024-01-28,West,Clothing,Sneakers,Online,New Customer,2,422.96,15,719.03,543.33,175.7,4.0
100183,2024-12-26,East,Electronics,Smartwatch,Online,Premium Member,5,33499.6,5,159123.1,114911.26,44211.84,
100184,2024-05-19,East,Electronics,Bluetooth Speaker,In-Store,New Customer,1,43094.76,10,38785.28,26746.77,12038.51,
100185,2024-10-12,West,Home & Kitchen,Vacuum Cleaner,In-Store,Returning Customer,2,1902.03,10,3423.65,2673.78,749.87,
100186,2024-07-03,North,Sports,Yoga Mat,Online,Returning Customer,1,5865.55,10,5279.0,3238.29,2040.71,
100187,2024-08-12,North,Electronics,Smartphone,Online,Premium Member,2,36183.68,0,72367.36,53985.62,18381.74,4.0
100188,2024-11-23,West,Sports,Dumbbells,Online,New Customer,2,1657.85,0,3315.7,2110.16,1205.54,3.0
100189,2024-09-17,West,Beauty,Sunscreen,Online,New Customer,1,1215.59,0,1215.59,866.95,348.64,5.0
100190,2024-05-11,North,Clothing,Dress,In-Store,Returning Customer,4,472.35,0,1889.4,1323.78,565.62,
100191,2024-04-10,North,Grocery,Snacks Combo,Online,Premium Member,3,203.55,0,610.65,386.35,224.3,5.0
100192,2023-12-19,South,Beauty,Lipstick,Online,New Customer,4,1199.88,10,4319.57,2793.39,1526.18,3.0
100193,2024-10-17,West,Sports,Yoga Mat,In-Store,New Customer,3,2648.37,10,7150.6,4694.03,2456.57,4.0
100194,2023-10-29,East,Home & Kitchen,Cookware Set,Online,Returning Customer,4,6670.58,10,24014.09,19157.71,4856.38,5.0
100195,2023-01-14,East,Grocery,Rice 5kg,In-Store,Returning Customer,3,896.99,0,2690.97,1721.47,969.5,4.0
100196,2024-06-19,North,Clothing,Dress,In-Store,New Customer,5,393.03,0,1965.15,1152.1,813.05,3.0
100197,2023-09-30,East,Sports,Yoga Mat,In-Store,New Customer,2,3544.31,5,6734.19,4754.32,1979.87,4.0
100198,2024-08-16,East,Sports,Running Shoes,Online,Returning Customer,3,727.89,0,2183.67,1543.81,639.86,4.0
100199,2024-12-04,East,Grocery,Tea Pack,Online,Returning Customer,1,152.65,0,152.65,102.22,50.43,4.0
100200,2023-04-28,East,Electronics,Smartwatch,Online,New Customer,4,18011.88,5,68445.14,48095.6,20349.54,
100201,2024-07-26,West,Home & Kitchen,Mixer Grinder,In-Store,Returning Customer,5,8613.91,15,36609.12,30429.34,6179.78,
100202,2024-06-30,South,Home & Kitchen,Mixer Grinder,In-Store,,1,5674.02,15,4822.92,3921.9,901.02,4.0
100203,2024-09-29,East,Clothing,Jacket,Online,Returning Customer,1,808.51,5,768.08,466.57,301.51,5.0
100204,2024-10-25,South,Grocery,Cooking Oil,Online,New Customer,4,306.09,0,1224.36,866.14,358.22,5.0
100205,2024-02-04,East,Clothing,T-Shirt,In-Store,New Customer,5,3029.89,0,15149.45,10209.82,4939.63,4.0
100206,2024-06-16,East,Electronics,Laptop,Online,Premium Member,2,33281.25,5,63234.38,38313.22,24921.16,5.0
100207,2024-03-01,West,Beauty,Face Wash,Online,Premium Member,5,1229.39,0,6146.95,4075.83,2071.12,3.0
100208,2024-01-19,West,Grocery,Rice 5kg,Online,Returning Customer,2,152.85,10,275.13,201.46,73.67,5.0
100209,2024-07-26,West,Clothing,Jacket,Online,Returning Customer,1,2261.28,0,2261.28,1626.73,634.55,3.0
100210,2024-05-31,West,Electronics,Smartphone,Online,Premium Member,3,29712.64,5,84681.02,50136.04,34544.98,4.0
100211,2024-07-24,South,Home & Kitchen,Vacuum Cleaner,Online,New Customer,5,2644.71,0,13223.55,9274.34,3949.21,4.0
100212,2024-01-11,North,Beauty,Sunscreen,In-Store,New Customer,1,1074.3,10,966.87,710.75,256.12,4.0
100213,2023-09-11,South,Sports,Yoga Mat,Online,Returning Customer,4,2929.5,0,11718.0,6663.81,5054.19,3.0
100214,2024-05-18,North,Sports,Running Shoes,In-Store,,1,2617.43,15,2224.82,1718.62,506.2,
100215,2024-04-12,East,Clothing,Jacket,Online,Premium Member,3,3447.27,0,10341.81,6105.84,4235.97,
100216,2024-09-04,East,Home & Kitchen,Mixer Grinder,Online,Returning Customer,3,10683.06,10,28844.26,20865.34,7978.92,5.0
100217,2024-07-28,South,Grocery,Rice 5kg,In-Store,New Customer,4,803.18,5,3052.08,1871.24,1180.84,
100218,2024-06-20,North,Sports,Yoga Mat,In-Store,New Customer,5,5851.36,0,29256.8,17826.11,11430.69,5.0
100219,2024-10-07,East,Sports,Yoga Mat,Online,Premium Member,4,2158.74,0,8634.96,6164.08,2470.88,5.0
100220,2023-10-04,North,Clothing,T-Shirt,Online,New Customer,1,2666.95,0,2666.95,1794.21,872.74,3.0
100221,2024-10-23,East,Sports,Cricket Bat,In-Store,New Customer,1,1107.08,10,996.37,680.88,315.49,4.0
100222,2023-06-05,East,Beauty,Face Wash,In-Store,Premium Member,3,1295.35,5,3691.75,2374.62,1317.13,
100223,2023-08-15,East,Grocery,Cooking Oil,In-Store,Premium Member,1,708.17,10,637.35,483.68,153.67,
100224,2024-10-07,East,Home & Kitchen,Vacuum Cleaner,Online,Returning Customer,4,5074.05,0,20296.2,12838.41,7457.79,5.0
100225,2024-05-21,South,Electronics,Smartphone,In-Store,New Customer,1,13999.16,15,11899.29,9810.5,2088.79,5.0
100226,2023-06-22,West,Electronics,Laptop,In-Store,Returning Customer,3,39426.62,0,118279.86,81700.3,36579.56,4.0
100227,2024-04-09,North,Electronics,Smartwatch,Online,Returning Customer,3,11114.2,10,30008.34,22331.6,7676.74,
100228,2024-05-28,East,Beauty,Shampoo,In-Store,New Customer,5,1532.95,0,7664.75,4873.53,2791.22,
100229,2024-05-08,West,Grocery,Rice 5kg,Online,New Customer,4,174.25,0,697.0,510.15,186.85,4.0
